19510101
-1.32,-3.57
-1.98,-3.05
-1.30,-4.58
4.82,-6.43
4.92,-3.60
6.01,-1.51
5.30,0.10
4.77,-0.33
3.33,0.67
2.41,-1.27
2.52,-2.30
0.86,-1.99
2.19,-2.03
5.34,0.03
4.52,2.27
9.37,2.81
9.34,0.86
8.78,0.85
8.92,1.04
13.07,0.61
11.71,0.28
11.13,-0.46
3.21,-1.73
2.19,-2.29
0.12,-3.59
-1.45,-3.61
-1.57,-7.18
-1.55,-6.64
-1.98,-5.33
1.36,-8.79
-1.27,-6.93
0.05,-4.62
2.29,-3.70
0.56,-4.07
0.88,-3.86
-1.05,-4.51
-2.67,-6.50
0.32,-5.49
0.86,-2.06
-0.33,-3.80
0.32,-4.04
-0.55,-5.05
0.60,-3.93
0.51,-4.31
-0.08,-3.26
3.35,-8.39
2.73,-6.78
3.51,-1.45
3.98,1.56
2.71,0.04
5.84,-0.58
2.82,-1.18
2.76,-1.47
2.95,-1.50
0.81,-0.69
-0.65,-4.12
0.31,-4.14
1.27,-3.50
3.46,-4.46
3.71,-5.97
7.72,-5.94
6.21,-3.95
1.35,-5.97
-0.31,-4.42
1.31,-5.45
2.19,-3.83
0.57,-4.84
0.72,-3.79
2.40,-2.84
3.06,-0.94
3.40,-1.15
3.42,-0.04
5.23,-1.52
7.96,0.80
9.91,5.66
10.25,6.02
9.48,2.45
7.93,2.47
9.60,5.03
11.19,1.57
13.55,2.45
15.70,2.89
9.33,2.49
3.82,-2.76
9.89,-2.64
11.67,1.69
8.19,2.12
8.62,-0.08
3.57,-1.56
6.33,-4.53
9.74,-2.02
7.18,-0.42
9.88,-2.30
11.11,-0.82
13.10,2.91
11.39,1.87
8.54,2.68
7.87,-1.91
11.15,0.48
6.86,-0.58
4.63,-3.29
9.04,-1.83
12.70,-0.15
14.15,2.24
14.86,3.69
15.21,3.89
11.34,5.24
13.63,4.12
11.44,4.61
9.20,3.63
8.39,2.04
9.47,3.16
9.17,1.31
7.26,2.01
9.29,2.26
9.90,3.94
9.65,3.83
10.24,2.58
9.97,-2.42
10.19,0.24
10.80,2.75
10.14,0.83
9.74,1.30
8.71,1.48
7.74,1.80
6.41,0.78
5.04,1.22
6.66,0.35
3.86,-2.64
2.68,-4.04
3.91,-2.51
5.47,0.15
7.40,-0.59
9.67,-0.91
11.25,-0.65
13.60,0.07
14.61,1.81
13.47,2.90
12.77,-1.42
11.60,4.26
13.99,6.81
16.23,7.24
19.28,8.89
17.94,8.65
16.08,7.90
12.12,4.64
10.19,2.82
12.25,3.12
12.34,3.45
11.04,4.17
10.37,3.05
13.53,2.50
16.62,4.82
15.59,8.36
15.62,7.25
15.79,7.77
17.05,7.99
15.92,7.58
13.25,5.06
16.47,4.53
19.16,6.38
22.15,9.27
23.61,11.35
25.60,12.33
26.87,13.77
26.79,13.47
26.96,12.52
25.26,13.42
22.43,12.26
22.33,7.41
21.71,10.59
20.32,12.79
17.43,10.26
17.12,5.63
17.23,5.28
18.65,5.75
